"","IndicatorName","OUTP1M_RATIO","CHRONIC_RATIO"
"1","AVGINDIINCOME_TOTAL",1.42616381314046,1.75995595978293
"2","AVGEDU",1.44488995423924,1.58650568705629
"110","AVGAGE",1.23724393474115,NA
"26","MALE_RATIO",1.0638676113702,NA
"6","AVGBMI",NA,1.33575220557215
"11","AVGCHRONIC_NUM",NA,1.34205004281139
"15","AVGOUTP1M_TIMES",1.08301628824131,NA
"17","AVGOUTP1M_REALEXP",1.11973264921454,NA
"28","AVGEXP1W_FOOD",1.18215908494753,4.09549133583009
"29","AVGEXP1Y_TOTAL",NA,4.82254758659983
"35","AVGTRANSCHILD_AMT",7.79683813889747,NA
"36","AVGTRANSPAY_TOTAL",7.75934376612107,NA
